codmpio,depto2010,mpio2010,codmpio1928,depto1928,mpio1928,match,men1918,women1918,pop1918,houses1928,families1928,men1928,women1928,pop1928,men21_1928,ink
25398,Cundinamarca,La Peña,7051,Cundinamarca,La Peña,1,3729,3937,7666,1093,1027,5020,4259,9279,2644,
25402,Cundinamarca,La Vega,7052,Cundinamarca,La Vega,1,3611,3862,7473,1506,1217,4423,3467,7890,2369,
25407,Cundinamarca,Lenguazaque,7053,Cundinamarca,Lenguazaque,1,2637,3068,5705,1070,1044,2655,2926,5581,1192,
25426,Cundinamarca,Macheta,7054,Cundinamarca,Macheta,1,6863,8679,15542,3012,3031,13288,10146,23434,5986,
25430,Cundinamarca,Madrid,7055,Cundinamarca,Madrid,1,2179,2332,4511,884,745,2042,2578,4620,949,
25436,Cundinamarca,Manta,7056,Cundinamarca,Manta,1,7309,5504,12813,1848,1989,8673,7498,16171,5255,
25438,Cundinamarca,Medina,7057,Cundinamarca,Medina,1,1381,1353,2734,607,584,1614,1457,3071,845,
25473,Cundinamarca,Mosquera,7058,Cundinamarca,Mosquera,1,1343,1622,2965,403,511,1466,1661,3127,577,
25483,Cundinamarca,Nariño,7059,Cundinamarca,Nariño,1,671,660,1331,288,277,1054,849,1903,419,
25486,Cundinamarca,Nemocon,7060,Cundinamarca,Nemocon,1,2637,2724,5361,1037,908,2664,2695,5359,1710,
25488,Cundinamarca,Nilo,7061,Cundinamarca,Nilo,1,1977,1711,3688,603,661,2216,1922,4138,1078,
25489,Cundinamarca,Nimaima,7062,Cundinamarca,Nimaima,1,2147,1631,3778,640,714,3754,2599,6353,1969,
25491,Cundinamarca,Nocaima,7063,Cundinamarca,Nocaima,1,2368,2229,4597,1473,1468,4906,4271,9177,3128,
25513,Cundinamarca,Pacho,7064,Cundinamarca,Pacho,1,8095,8512,16607,3844,3404,10550,10793,21343,4917,
25518,Cundinamarca,Paime,7065,Cundinamarca,Paime,1,1515,1334,2849,680,723,2332,2151,4483,1137,
25524,Cundinamarca,Pandi,7066,Cundinamarca,Pandi,1,3533,3326,6859,1074,1036,3467,3197,6664,1574,
25535,Cundinamarca,Pasca,7067,Cundinamarca,Pasca,1,2162,2188,4350,984,952,2918,2990,5908,1331,
25580,Cundinamarca,Puli,7068,Cundinamarca,Puli,1,1689,1800,3489,698,597,1822,1809,3631,819,
25592,Cundinamarca,Quebradanegra,7069,Cundinamarca,Quebradanegra,1,1499,1656,3155,672,687,2860,2156,5016,1867,
25594,Cundinamarca,Quetame,7070,Cundinamarca,Quetame,1,2463,2585,5048,952,703,2879,3079,5958,1316,
25596,Cundinamarca,Quipile,7071,Cundinamarca,Quipile,1,4206,3771,7977,1778,1410,4884,4221,9105,2347,
25612,Cundinamarca,Ricaurte,7072,Cundinamarca,Ricaurte,1,3078,2930,6008,684,704,2555,2264,4819,1154,
25645,Cundinamarca,San Antonio Del Tequendama,7073,Cundinamarca,San Antonio,1,2602,2278,4880,747,775,2262,2275,4537,1092,
25649,Cundinamarca,San Bernardo,7074,Cundinamarca,San Bernardo,1,,,,563,734,2953,2484,5437,1333,
25653,Cundinamarca,San Cayetano,7075,Cundinamarca,San Cayetano,1,2929,3014,5943,1280,1112,3238,3283,6521,1527,
25658,Cundinamarca,San Francisco,7076,Cundinamarca,San Francisco,1,1638,1503,3141,641,615,1784,1686,3470,808,
25662,Cundinamarca,San Juan De Rio Seco,7077,Cundinamarca,San Juan De Rioseco,1,3118,3289,6407,1434,1432,4814,4416,9230,2452,
25718,Cundinamarca,Sasaima,7078,Cundinamarca,Sasaima,1,3475,3167,6642,1233,1035,3174,3109,6283,1486,
25736,Cundinamarca,Sesquile,7079,Cundinamarca,Sesquile,1,1869,2158,4027,818,699,3247,2763,6010,1678,
25745,Cundinamarca,Simijaca,7080,Cundinamarca,Simijaca,1,2372,2730,5102,907,854,2022,2351,4373,867,
25754,Cundinamarca,Soacha,7081,Cundinamarca,Soacha,1,4813,4460,9273,1531,1574,6054,5097,11151,3095,
25758,Cundinamarca,Sopo,7082,Cundinamarca,Sopo,1,1287,1291,2578,607,472,1256,1291,2547,626,
11001,,Bogota,7083,Cundinamarca,Suba,1,1139,1205,2344,520,482,1413,1378,2791,631,
25769,Cundinamarca,Subachoque,7084,Cundinamarca,Subachoque,1,3307,3447,6754,1346,1184,3332,3507,6839,1571,
25772,Cundinamarca,Suesca,7085,Cundinamarca,Suesca,1,2257,2450,4707,954,616,3510,3114,6624,1818,
25777,Cundinamarca,Supata,7086,Cundinamarca,Supata,1,1827,1889,3716,801,753,2294,2129,4423,1190,
25779,Cundinamarca,Susa,7087,Cundinamarca,Susa,1,2093,2298,4391,993,954,3171,3163,6334,1391,
25781,Cundinamarca,Sutatausa,7088,Cundinamarca,Sutatausa,1,1236,1508,2744,557,547,1366,1461,2827,687,
25785,Cundinamarca,Tabio,7089,Cundinamarca,Tabio,1,1515,1720,3235,743,651,1381,1666,3047,707,
25793,Cundinamarca,Tausa,7090,Cundinamarca,Tausa,1,1772,1779,3551,827,729,1893,1866,3759,881,
25797,Cundinamarca,Tena,7091,Cundinamarca,Tena,1,2308,2099,4407,755,596,2111,2185,4296,1092,
25799,Cundinamarca,Tenjo,7092,Cundinamarca,Tenjo,1,1225,1499,2724,820,705,1546,1838,3384,774,
25805,Cundinamarca,Tibacuy,7093,Cundinamarca,Tibacuy,1,2172,2000,4172,764,601,2035,1651,3686,896,
25807,Cundinamarca,Tibirita,7094,Cundinamarca,Tibirita,1,2332,2587,4919,1286,1103,2664,3021,5685,1336,
25815,Cundinamarca,Tocaima,7095,Cundinamarca,Tocaima,1,5994,5961,11955,2173,1851,6304,6000,12304,3098,
25817,Cundinamarca,Tocancipa,7096,Cundinamarca,Tocancipa,1,967,1146,2113,450,440,977,1146,2123,491,
25823,Cundinamarca,Topaipi,7097,Cundinamarca,Topaipi,1,,,,1546,1344,3998,3808,7806,1678,
25839,Cundinamarca,Ubala,7098,Cundinamarca,Ubala,1,3733,3766,7499,1745,1673,4766,4757,9523,2098,
25841,Cundinamarca,Ubaque,7099,Cundinamarca,Ubaque,1,3053,3453,6506,1532,1174,3064,3586,6650,1320,
25843,Cundinamarca,Villa De San Diego De Ubate,7100,Cundinamarca,Ubate,1,4517,5816,10333,2215,1738,4169,5494,9663,1858,
25845,Cundinamarca,Une,7101,Cundinamarca,Une,1,2439,2610,5049,854,777,2655,2726,5381,1191,
11001,Bogota,Bogota,7102,Cundinamarca,Usaquen,1,1110,1066,2176,424,394,1413,1307,2720,677,
11001,Bogota,Bogota,7103,Cundinamarca,Usme,1,1555,1360,2915,679,559,3135,2151,5286,1893,
25851,Cundinamarca,Utica,7104,Cundinamarca,Utica,1,1734,1906,3640,731,609,1853,1859,3712,806,
25862,Cundinamarca,Vergara,7105,Cundinamarca,Vergara,1,3213,3215,6428,1357,1298,3834,3733,7567,1714,
25867,Cundinamarca,Viani,7106,Cundinamarca,Viani,1,2313,2353,4666,914,712,2546,2492,5038,1206,
25873,Cundinamarca,Villapinzon,7107,Cundinamarca,Villa Pinzon,1,3146,3600,6746,1659,1286,3949,3903,7852,1901,
25875,Cundinamarca,Villeta,7108,Cundinamarca,Villeta,1,3224,3197,6421,1206,1062,4818,3716,8534,2661,
25878,Cundinamarca,Viota,7109,Cundinamarca,Viota,1,4381,3908,8289,1089,1571,5254,4658,9912,2712,
25885,Cundinamarca,Yacopi,7110,Cundinamarca,Yacopi,1,3562,3456,7018,2038,1561,5639,5252,10891,2362,
25899,Cundinamarca,Zipaquira,7111,Cundinamarca,Zipaquira,1,4821,5692,10513,2291,1933,5265,6195,11460,2528,
41001,Huila,Neiva,8001,Huila,Neiva,1,10074,15111,25185,4281,5277,14009,15979,29988,6757,
41013,Huila,Agrado,8002,Huila,Agrado,1,2208,3310,5518,860,1104,2240,3058,5298,1142,
41016,Huila,Aipe,8003,Huila,Aipe,1,3706,4059,7765,1070,1429,3765,4094,7859,1712,
41026,Huila,Altamira,8004,Huila,Altamira,1,873,1308,2181,425,449,938,1252,2190,422,
41078,Huila,Baraya,8005,Huila,Baraya,1,2203,3304,5507,664,974,3144,3274,6418,1442,
41132,Huila,Campoalegre,8006,Huila,Campoalegre,1,4366,6549,10915,1568,1594,3704,4352,8056,1696,
41483,Huila,Nataga,8007,Huila,Carnicerias,1,2007,3009,5016,861,969,2590,2857,5447,1238,
41206,Huila,Colombia,8008,Huila,Colombia,1,2312,3468,5780,1049,1001,2959,3246,6205,1375,
,,,8009,Huila,Concepcion,,1626,2439,4065,1090,928,2390,2825,5215,961,
41244,Huila,Elias,8010,Huila,Elias,1,1983,2973,4956,1045,1048,2987,3412,6399,1331,
41298,Huila,Garzon,8011,Huila,Garzon,1,4692,7037,11729,1638,2211,6067,7417,13484,2937,
41306,Huila,Gigante,8012,Huila,Gigante,1,3008,4511,7519,1440,1364,3497,4157,7654,1585,
41319,Huila,Guadalupe,8013,Huila,Guadalupe,1,2394,3592,5986,928,1008,2357,3072,5429,1089,
41872,Huila,Villavieja,8014,Huila,Hato,1,3019,4528,7547,1381,1530,4133,4492,8625,2062,
41349,Huila,Hobo,8015,Huila,Hobo,1,1195,1792,2987,738,663,1352,1508,2860,630,
41357,Huila,Iquira,8016,Huila,Iquira,1,1158,1815,2973,542,636,1618,1776,3394,776,
,,,8017,Huila,La Jagua,,454,681,1135,182,189,441,607,1048,211,
41396,Huila,La Plata,8018,Huila,La Plata,1,2446,3669,6115,1303,1280,3610,3850,7460,1542,
41378,Huila,La Argentina,8019,Huila,La Union,1,2385,3077,5462,870,905,2961,3046,6007,1378,
41807,Huila,Timana,8020,Huila,Naranjal,1,649,975,1624,286,307,781,889,1670,338,
41518,Huila,Paicol,8021,Huila,Paicol,1,1143,1714,2857,504,529,1195,1383,2578,572,
41524,Huila,Palermo,8022,Huila,Palermo,1,2304,3456,5760,1160,1187,3982,3931,7913,1879,
41548,Huila,Pital,8023,Huila,Pital,1,1518,2275,3793,543,762,1782,2064,3846,885,
41551,Huila,Pitalito,8024,Huila,Pitalito,1,5926,8887,14813,2896,2060,5912,6779,12691,2522,
41801,Huila,Teruel,8025,Huila,Retiro,1,1002,1503,2505,417,465,1299,1381,2680,625,
41668,Huila,San Agustin,8026,Huila,San Agustin,1,,,,1127,1006,3082,2953,6035,1389,
41396,Huila,La Plata,8027,Huila,San Juanito,1,,,,614,735,2403,2072,4475,1216,
41676,Huila,Santa Maria,8028,Huila,Santa Librada,1,2689,4032,6721,1251,1265,3067,3699,6766,1317,
41807,Huila,Timana,8029,Huila,Timana,1,3177,4765,7942,1461,1806,4172,5177,9349,1989,
41872,Huila,Villavieja,8030,Huila,Villavieja,1,1927,2700,4627,605,727,2700,2524,5224,1352,
41885,Huila,Yaguara,8031,Huila,Yaguara,1,1742,2612,4354,783,776,2224,2547,4771,1173,
47001,Magdalena,Santa Marta,9001,Magdalena,Santa Marta,1,9305,8735,18040,3998,4173,16632,14310,30942,8663,
20011,Cesar,Aguachica,9002,Magdalena,Aguachica,1,4240,4475,8715,956,878,3349,3045,6394,1291,
47053,Magdalena,Aracataca,9003,Magdalena,Aracataca,1,2690,2016,4706,1622,2214,7337,4865,12202,3890,
47245,Magdalena,El Banco,9004,Magdalena,Banco,1,3795,3883,7678,2089,1913,5772,6206,11978,2543,
44078,La Guajira,Barrancas,9005,Magdalena,Barrancas,1,2045,2050,4095,713,679,2060,2337,4397,932,
47161,Magdalena,Cerro San Antonio,9006,Magdalena,Cerro De San Antonio,1,2846,3063,5909,1161,1005,3892,4284,8176,1435,
47189,Magdalena,Cienaga,9007,Magdalena,Cienaga,1,14244,10464,24708,5446,4959,24311,21117,45428,12551,
20175,Cesar,Chimichagua,9008,Magdalena,Chimichagua,1,2091,2113,4204,1042,1010,3171,3577,6748,1224,
20178,Cesar,Chiriguana,9009,Magdalena,Chiriguana,1,4692,4363,9055,1404,1354,5232,4968,10200,2365,
,,,9010,Magdalena,Espiritu Santo,,3184,3046,6230,1085,1053,4524,4674,9198,1714,
44279,La Guajira,Fonseca,9011,Magdalena,Fonseca,1,1477,1574,3051,682,656,1669,1902,3571,662,
20295,Cesar,Gamarra,9012,Magdalena,Gamarra,1,,,,573,545,1909,1812,3721,828,
20310,Cesar,Gonzalez,9013,Magdalena,Gonzalez,1,1523,1634,3157,579,560,2087,1531,3618,919,
47318,Magdalena,Guamal,9014,Magdalena,Guamal,1,2735,2911,5646,1382,1319,3627,4089,7716,1435,
20383,Cesar,La Gloria,9015,Magdalena,La Gloria,1,960,1007,1967,610,540,1595,1812,3407,583,
47541,Magdalena,Pedraza,9016,Magdalena,Pedraza,1,2095,1899,3994,859,813,3303,2990,6293,1277,
47258,Magdalena,El Piñon,9017,Magdalena,Piñon,1,2143,2127,4270,810,796,2757,2384,5141,1062,
47551,Magdalena,Pivijay,9018,Magdalena,Pivijai,1,2464,2985,5449,1168,1279,3495,3865,7360,1270,
47555,Magdalena,Plato,9019,Magdalena,Plato,1,3750,3544,7294,2151,1650,7699,6442,14141,3422,
47570,Magdalena,Puebloviejo,9020,Magdalena,Puebloviejo,1,2535,2482,5017,673,647,2508,2457,4965,1011,
47605,Magdalena,Remolino,9021,Magdalena,Remolino,1,2250,2211,4461,1123,1126,3368,3264,6632,1319,
20614,Cesar,Rio De Oro,9022,Magdalena,Rio De Oro,1,4203,3089,7292,785,892,3077,2991,6068,1617,
44001,La Guajira,Riohacha,9023,Magdalena,Riohacha,1,4508,5493,10001,2862,1741,4788,5172,9960,2144,
47675,Magdalena,Salamina,9024,Magdalena,Salamina,1,2266,2206,4472,620,640,1896,2143,4039,711,
44650,La Guajira,San Juan Del Cesar,9025,Magdalena,San Juan De Cesar,1,2743,3038,5781,1329,1179,3544,3819,7363,1366,
47703,Magdalena,San Zenon,9026,Magdalena,San Zenon,1,2819,2914,5733,1093,1079,3391,3693,7084,1274,
47707,Magdalena,Santa Ana,9027,Magdalena,Santa Ana O Genova,1,2964,3281,6245,1314,1320,4298,4108,8406,1721,
47745,Magdalena,Sitionuevo,9028,Magdalena,Sitionuevo,1,6266,4250,10516,1809,1732,6873,5068,11941,3663,
20787,Cesar,Tamalameque,9029,Magdalena,Tamalameque,1,1242,1292,2534,649,644,1625,1844,3469,591,
47798,Magdalena,Tenerife,9030,Magdalena,Tenerife,1,2085,2063,4148,809,786,3071,3023,6094,1600,
20001,Cesar,Valledupar,9031,Magdalena,Valledupar,1,5044,5583,10627,2168,2351,8337,9304,17641,4002,
44874,La Guajira,Villanueva,9032,Magdalena,Villanueva,1,2577,2722,5299,1606,1561,3105,3487,6592,1129,
,,,9033,Magdalena,Tribus Motilones,2,508,593,1101,,,388,258,646,,
52001,Nariño,Pasto,10001,Nariño,Pasto,1,13623,15412,29035,19086,7007,21117,22045,43162,10593,
52019,Nariño,Alban,10002,Nariño,Alban,1,2967,2977,5944,2352,1376,4182,4231,8413,1746,
52022,Nariño,Aldana,10003,Nariño,Aldana,1,996,1005,2001,988,475,1053,1131,2184,490,
52036,Nariño,Ancuya,10004,Nariño,Ancuya,1,4436,4328,8764,2572,1267,4396,4208,8604,2141,
52051,Nariño,Arboleda,10005,Nariño,Arboleda,1,2761,2798,5559,2654,1107,3415,3515,6930,1454,
52079,Nariño,Barbacoas,10006,Nariño,Barbacoas,1,5996,6354,12350,3207,2207,6919,6622,13541,3308,
52110,Nariño,Buesaco,10007,Nariño,Buesaco,1,3164,3051,6215,1579,1438,4183,3943,8126,1990,
52203,Nariño,Colon,10008,Nariño,Colon (Genova),1,,,,1944,1063,3073,3336,6409,1248,
52207,Nariño,Consaca,10009,Nariño,Consaca,1,2398,2170,4568,1316,936,2626,2446,5072,1310,
52210,Nariño,Contadero,10010,Nariño,Contadero,1,1759,1816,3575,1579,764,1808,2008,3816,872,
52215,Nariño,Cordoba,10011,Nariño,Cordoba,1,3220,3488,6708,2514,1414,3543,3840,7383,1558,
52224,Nariño,Cuaspud,10012,Nariño,Cuaspud,1,1689,1678,3367,1240,690,1782,1746,3528,934,
52227,Nariño,Cumbal,10013,Nariño,Cumbal,1,3863,4074,7937,2774,1663,4311,4514,8825,2045,
52256,Nariño,El Rosario,10014,Nariño,El Rosario,1,2205,2113,4318,418,915,3042,2952,5994,1200,
52287,Nariño,Funes,10015,Nariño,Funes,1,2405,2442,4847,2372,1221,3101,3002,6103,1604,
52317,Nariño,Guachucal,10016,Nariño,Guachucal,1,3003,3112,6115,2987,1300,3107,3413,6520,1423,
52323,Nariño,Gualmatan,10017,Nariño,Gualmatan,1,1221,1306,2527,1112,548,1239,1417,2656,567,
52320,Nariño,Guaitarilla,10018,Nariño,Guaitarilla,1,3761,3725,7486,3521,1534,4012,4106,8118,1895,
52352,Nariño,Iles,10019,Nariño,Iles,1,1504,1499,3003,1454,704,1762,1700,3462,823,
52354,Nariño,Imues,10020,Nariño,Imues,1,2043,2107,4150,1778,825,2038,2097,4135,994,
52356,Nariño,Ipiales,10021,Nariño,Ipiales,1,8187,8818,17005,8169,4100,10361,10973,21334,5039,
52696,Nariño,Santa Barbara,10022,Nariño,Iscuande,1,3929,4056,7985,5619,1836,5249,5519,10768,2351,
52418,Nariño,Los Andes,10023,Nariño,Los Andes,1,2715,2601,5316,2298,1567,4745,4330,9075,2102,
52378,Nariño,La Cruz,10024,Nariño,La Cruz,1,5387,5720,11107,4051,2211,6517,6984,13501,2761,
52381,Nariño,La Florida,10025,Nariño,La Florida,1,3491,3510,7001,2146,1117,2926,3011,5937,1240,
52411,Nariño,Linares,10026,Nariño,Linares,1,2981,2653,5634,2130,1264,3814,3412,7226,1739,
52399,Nariño,La Union,10027,Nariño,La Union,1,5201,5313,10514,4298,2059,5943,6676,12619,2425,
52427,Nariño,Magsi,10028,Nariño,Magui,1,1515,1750,3265,629,608,1460,1801,3261,590,
52435,Nariño,Mallama,10029,Nariño,Mallama,1,1460,1480,2940,1026,619,2153,1678,3831,1217,
52473,Nariño,Mosquera,10030,Nariño,Mosquera,1,1665,1886,3551,795,569,1548,1629,3177,685,
52506,Nariño,Ospina,10031,Nariño,Ospina,1,1512,1633,3145,1062,643,1529,1684,3213,738,
52560,Nariño,Potosi,10032,Nariño,Potosi,1,2639,2774,5413,2850,1319,3213,3424,6637,1471,
52573,Nariño,Puerres,10033,Nariño,Puerres,1,2344,2382,4726,2233,1088,2634,2775,5409,1223,
52585,Nariño,Pupiales,10034,Nariño,Pupiales,1,3751,3970,7721,3865,1600,3699,4139,7838,1663,
52612,Nariño,Ricaurte,10035,Nariño,Ricaurte,1,1221,1205,2426,926,457,1508,1349,2857,703,
52683,Nariño,Sandona,10036,Nariño,Sandona,1,4538,4571,9109,3602,2198,5895,5793,11688,2749,
,,,10037,Nariño,San Jose,,2325,2548,4873,816,946,2467,2628,5095,1109,
52687,Nariño,San Lorenzo,10038,Nariño,San Lorenzo,1,3017,2879,5896,1795,1226,3655,3803,7458,1547,
52678,Nariño,Samaniego,10039,Nariño,Samaniego,1,4274,4229,8503,3168,1904,5562,5304,10866,2570,
52720,Nariño,Sapuyes,10040,Nariño,Sapuyes,1,1605,1684,3289,1658,885,1841,1961,3802,886,
52693,Nariño,San Pablo,10041,Nariño,San Pablo,1,5750,5919,11669,2141,1003,2960,3371,6331,1243,
52699,Nariño,Santacruz,10042,Nariño,Santa Cruz,1,1799,1731,3530,1387,896,2411,2221,4632,717,
52258,Nariño,El Tablon De Gomez,10043,Nariño,Tablon,1,1853,1913,3766,1433,895,2181,2306,4487,1043,
52788,Nariño,Tangua,10044,Nariño,Tangua,1,2725,2722,5447,3069,1185,3054,3092,6146,1405,
52260,Nariño,El Tambo,10045,Nariño,Tambo,1,4204,4223,8427,4226,2064,5504,5884,11388,2397,
52786,Nariño,Taminango,10046,Nariño,Taminango,1,2056,1999,4055,1353,865,2527,2490,5017,1057,
52835,Nariño,San Andres De Tumaco,10047,Nariño,Tumaco,1,11910,12127,24037,7309,4843,15370,15648,31018,7227,
52838,Nariño,Tuquerres,10048,Nariño,Tuquerres,1,8262,8829,17091,7428,3868,9070,10130,19200,4345,
52885,Nariño,Yacuanquer,10049,Nariño,Yacuanquer,1,2468,2387,4855,2334,988,2538,2433,4971,1283,
54001,N. De Santander,Cucuta,11001,Norte De Santander,San Jose De Cucuta,1,14069,15421,29490,7633,7859,24746,24533,49279,12984,
54003,N. De Santander,Abrego,11002,Norte De Santander,Abrego (La Cruz),1,4626,4686,9312,1790,1877,5974,5895,11869,2376,
54051,N. De Santander,Arboledas,11003,Norte De Santander,Arboledas,1,5459,5335,10794,2229,2274,6903,6916,13819,3034,
,,,11004,Norte De Santander,Aspasica (V. La Playa),3,,,,,,,,,,
54099,N. De Santander,Bochalema,11005,Norte De Santander,Bochalema,1,3096,3078,6174,1165,1165,4418,3836,8254,2274,
54125,N. De Santander,Cacota,11006,Norte De Santander,Cacota,1,1520,1634,3154,663,694,2336,1821,4157,1187,
54128,N. De Santander,Cachira,11007,Norte De Santander,Cachira,1,2484,2381,4865,756,881,2923,2804,5727,1327,
,,,11008,Norte De Santander,Concordia (V. Ragonvalia),3,,,,,,,,,,
54206,N. De Santander,Convencion,11009,Norte De Santander,Convencion,1,5930,6098,12028,2258,2705,10773,8629,19402,5733,
,,,11010,Norte De Santander,Cordoba (V. Durania),3,,,,,,,,,,
54223,N. De Santander,Cucutilla,11011,Norte De Santander,Cucutilla,1,3759,3640,7399,1525,1632,4587,4616,9203,1995,
54172,N. De Santander,Chinacota,11012,Norte De Santander,Chinacota,1,4717,4980,9697,2339,2021,10964,8083,19047,6253,
54174,N. De Santander,Chitaga,11013,Norte De Santander,Chitaga,1,1921,2000,3921,835,822,2362,2408,4770,1038,
54239,N. De Santander,Durania,11014,Norte De Santander,Durania (Cordoba),1,3366,3386,6752,1063,1020,3594,3333,6927,1568,
54245,N. De Santander,El Carmen,11015,Norte De Santander,El Carmen,1,4655,4660,9315,1774,1581,9180,7394,16574,5056,
54313,N. De Santander,Gramalote,11016,Norte De Santander,Gramalote,1,4931,4742,9673,1144,1171,3490,3526,7016,1577,
54344,N. De Santander,Hacari,11017,Norte De Santander,Hacari (La Palma),1,2111,2173,4284,755,760,2285,2527,4812,892,
54347,N. De Santander,Herran,11018,Norte De Santander,Herran,1,1554,1488,3042,494,492,1589,1531,3120,676,
,,,11019,Norte De Santander,La Cruz (V. Abrego),3,,,,,,,,,,
,,,11020,Norte De Santander,La Palma (V. Hacari),3,,,,,,,,,,
54398,N. De Santander,La Playa,11021,Norte De Santander,La Playa (Aspasica),1,2952,2937,5889,1581,1066,3249,3193,6442,1318,
54377,N. De Santander,Labateca,11022,Norte De Santander,Labateca,1,2169,2203,4372,934,901,3042,2795,5837,1397,
54418,N. De Santander,Lourdes,11023,Norte De Santander,Lourdes,1,,,,534,541,1938,1807,3745,874,
54480,N. De Santander,Mutiscua,11024,Norte De Santander,Mutiscua,1,1544,1614,3158,588,596,1737,1746,3483,912,
54498,N. De Santander,Ocaña,11025,Norte De Santander,Ocaña,1,7816,9473,17289,3723,3690,9610,11271,20881,4327,
54518,N. De Santander,Pamplona,11026,Norte De Santander,Pamplona,1,6404,7803,14207,2477,3297,10768,10613,21381,5947,
54520,N. De Santander,Pamplonita,11027,Norte De Santander,Pamplonita,1,2372,2382,4754,883,850,2550,2548,5098,1164,
54599,N. De Santander,Ragonvalia,11028,Norte De Santander,Ragonvalia (Concordia),1,1951,1935,3886,666,649,2183,2068,4251,930,
54874,N. De Santander,Villa Del Rosario,11029,Norte De Santander,Rosario,1,3063,2995,6058,1222,1158,3896,3505,7401,1881,
54660,N. De Santander,Salazar,11030,Norte De Santander,Salazar,1,5352,5393,10745,2625,2672,7861,7608,15469,3455,
54670,N. De Santander,San Calixto,11031,Norte De Santander,San Calixto,1,1934,1948,3882,773,850,2523,2602,5125,1061,
54673,N. De Santander,San Cayetano,11032,Norte De Santander,San Cayetano,1,2603,2440,5043,486,470,1802,1350,3152,992,
,,,11033,Norte De Santander,San Pedro (V. Villa Caro),3,,,,,,,,,,
54680,N. De Santander,Santiago,11034,Norte De Santander,Santiago,1,1975,1903,3878,620,637,2170,2009,4179,1083,
54720,N. De Santander,Sardinata,11035,Norte De Santander,Sardinata,1,2102,1928,4030,1110,1065,3223,3026,6249,1490,
